"type","price","volume","numOrders","timestamp"
"bid",56778.2,0.46476085,1,"2021-05-03T21:36:00.000Z"
"bid",56777,0.01455117,1,"2021-05-03T21:36:00.000Z"
"bid",56772.14,0.014666,1,"2021-05-03T21:36:00.000Z"
"bid",56769.75,0.052,1,"2021-05-03T21:36:00.000Z"
"bid",56768.83,1.04062024,1,"2021-05-03T21:36:00.000Z"
"bid",56768.5,0.05065338,1,"2021-05-03T21:36:00.000Z"
"bid",56768.36,0.27546478,1,"2021-05-03T21:36:00.000Z"
"bid",56768.01,0.00096674,1,"2021-05-03T21:36:00.000Z"
"bid",56767.5,0.02874006,1,"2021-05-03T21:36:00.000Z"
"bid",56766.41,0.03846734,2,"2021-05-03T21:36:00.000Z"
"bid",56764.94,0.3092382,1,"2021-05-03T21:36:00.000Z"
"bid",56763.48,0.001,1,"2021-05-03T21:36:00.000Z"
"bid",56762.04,0.00461,1,"2021-05-03T21:36:00.000Z"
"bid",56760.97,1.7595171,1,"2021-05-03T21:36:00.000Z"
"bid",56760.16,0.005,1,"2021-05-03T21:36:00.000Z"
"bid",56759.44,0.00116885,1,"2021-05-03T21:36:00.000Z"
"bid",56759.07,0.011191,1,"2021-05-03T21:36:00.000Z"
"bid",56758.96,0.00917955,1,"2021-05-03T21:36:00.000Z"
"bid",56757.45,0.0367182,1,"2021-05-03T21:36:00.000Z"
"bid",56756.48,0.1026338,1,"2021-05-03T21:36:00.000Z"
"bid",56755.86,0.005,1,"2021-05-03T21:36:00.000Z"
"bid",56754.85,0.03712463,1,"2021-05-03T21:36:00.000Z"
