"exchange","timestamp","fundingInterval","fundingRate"
"bitmex",1617508800000,946713600000,0.000531
"bitmex",1617537600000,946713600000,0.0001
"bitmex",1617566400000,946713600000,0.0001
"bitmex",1617595200000,946713600000,0.0001
"bitmex",1617624000000,946713600000,0.000398
"bitmex",1617652800000,946713600000,0.0001
"bitmex",1617681600000,946713600000,0.000645
"bitmex",1617710400000,946713600000,0.001596
"bitmex",1617739200000,946713600000,0.001084
"bitmex",1617768000000,946713600000,0.000304
"bitmex",1617796800000,946713600000,0.0001
"bitmex",1617825600000,946713600000,0.0001
"bitmex",1617854400000,946713600000,0.0001
"bitmex",1617883200000,946713600000,0.0001
"bitmex",1617912000000,946713600000,0.0001
"bitmex",1617940800000,946713600000,0.0001
"bitmex",1617969600000,946713600000,0.000317
"bitmex",1617998400000,946713600000,0.000231
"bitmex",1618027200000,946713600000,0.000274
"bitmex",1618056000000,946713600000,0.000372
"bitmex",1618084800000,946713600000,0.002997
"bitmex",1618113600000,946713600000,0.001328
"bitmex",1618142400000,946713600000,0.000495
"bitmex",1618171200000,946713600000,0.000907
"bitmex",1618200000000,946713600000,0.001067
"bitmex",1618228800000,946713600000,0.000914
"bitmex",1618257600000,946713600000,0.001305
"bitmex",1618286400000,946713600000,0.000741
"bitmex",1618315200000,946713600000,0.000731
"bitmex",1618344000000,946713600000,0.001701
"bitmex",1618372800000,946713600000,0.001282
"bitmex",1618401600000,946713600000,0.001016
"bitmex",1618430400000,946713600000,0.000491
"bitmex",1618459200000,946713600000,0.000691
"bitmex",1618488000000,946713600000,0.000255
"bitmex",1618516800000,946713600000,0.000376
"bitmex",1618545600000,946713600000,0.000286
"bitmex",1618574400000,946713600000,0.000664
"bitmex",1618603200000,946713600000,0.0001
"bitmex",1618632000000,946713600000,0.0001
"bitmex",1618660800000,946713600000,0.0001
"bitmex",1618689600000,946713600000,0.0001
"bitmex",1618718400000,946713600000,0.0001
"bitmex",1618747200000,946713600000,-0.000034
"bitmex",1618776000000,946713600000,0.000002
"bitmex",1618804800000,946713600000,0.0001
"bitmex",1618833600000,946713600000,0.0001
"bitmex",1618862400000,946713600000,0.0001
"bitmex",1618891200000,946713600000,0.0001
"bitmex",1618920000000,946713600000,0.0001
"bitmex",1618948800000,946713600000,0.0001
"bitmex",1618977600000,946713600000,0.0001
"bitmex",1619006400000,946713600000,0.0001
"bitmex",1619035200000,946713600000,0.0001
"bitmex",1619064000000,946713600000,0.0001
"bitmex",1619092800000,946713600000,0.0001
"bitmex",1619121600000,946713600000,0.0001
"bitmex",1619150400000,946713600000,0.000275
"bitmex",1619179200000,946713600000,0.0001
"bitmex",1619208000000,946713600000,0.000161
"bitmex",1619236800000,946713600000,0.0001
"bitmex",1619265600000,946713600000,0.0001
"bitmex",1619294400000,946713600000,0.0001
"bitmex",1619323200000,946713600000,0.0001
"bitmex",1619352000000,946713600000,0.0001
"bitmex",1619380800000,946713600000,0.0001
"bitmex",1619409600000,946713600000,0.0001
"bitmex",1619438400000,946713600000,0.0001
"bitmex",1619467200000,946713600000,0.0001
"bitmex",1619496000000,946713600000,0.0001
"bitmex",1619524800000,946713600000,0.0001
"bitmex",1619553600000,946713600000,0.0001
"bitmex",1619582400000,946713600000,0.0001
"bitmex",1619611200000,946713600000,0.0001
"bitmex",1619640000000,946713600000,0.0001
"bitmex",1619668800000,946713600000,0.0001
"bitmex",1619697600000,946713600000,0.0001
"bitmex",1619726400000,946713600000,0.000086
"bitmex",1619755200000,946713600000,0.0001
"bitmex",1619784000000,946713600000,0.0001
"bitmex",1619812800000,946713600000,0.0001
"bitmex",1619841600000,946713600000,0.0001
"bitmex",1619870400000,946713600000,0.0001
"bitmex",1619899200000,946713600000,0.0001
"bitmex",1619928000000,946713600000,0.0001
"bitmex",1619956800000,946713600000,0.0001
"bitmex",1619985600000,946713600000,0.0001
"bitmex",1620014400000,946713600000,0.0001
"bitmex",1620043200000,946713600000,0.0001
"bitmex",1620072000000,946713600000,0.000294
"bitmex",1620100800000,946713600000,0.000147
"bitmex",1620129600000,946713600000,0.0001
"bitmex",1620158400000,946713600000,0.0001
