"exchange","asset","ohlc","order_book_update","order_book","ticker","trade"
"binance","bnbdown_usdt",true,true,true,true,true
"binance","bnb_eth",true,true,true,true,true
"binance","bnb_eur",true,true,true,true,true
"binance","bnb_gbp",true,true,true,true,true
"binance","bnb_idrt",true,true,true,true,true
"binance","bnb_pax",true,true,true,true,true
"binance","bnb_rub",true,true,true,true,true
"binance","bnb_try",true,true,true,true,true
"binance","bnb_tusd",true,true,true,true,true
"binance","bnb_uah",true,true,true,true,
"binance","bnbup_usdt",true,true,true,true,true
"binance","bnb_usdc",true,true,true,true,true
"binance","bnb_usdt",true,true,true,true,true
"binance","bnt_btc",true,true,true,true,true
"binance","bnt_busd",true,true,true,true,true
"binance","bnt_eth",true,true,true,true,true
"binance","bnt_usdt",true,true,true,true,true
"binance","bqx_btc",true,true,true,true,true
"binance","bqx_eth",true,true,true,true,true
"binance","brd_btc",true,true,true,true,true
"binance","brd_eth",true,true,true,true,true
"binance","btc_aud",true,true,true,true,true
"binance","btc_bidr",true,true,true,true,true
"binance","btc_brl",true,true,true,true,true
"binance","btc_busd",true,true,true,true,true
"binance","btc_dai",true,true,true,true,true
"binance","btcdown_usdt",true,true,true,true,true
"binance","btc_eur",true,true,true,true,true
"binance","btc_gbp",true,true,true,true,true
"binance","btc_idrt",true,true,true,true,true
"binance","btc_ngn",true,true,true,true,true
"binance","btc_pax",true,true,true,true,true
"binance","btc_rub",true,true,true,true,true
"binance","btcst_btc",true,true,true,true,true
"binance","btcst_busd",true,true,true,true,true
"binance","btcst_usdt",true,true,true,true,true
"binance","btc_try",true,true,true,true,true
"binance","btc_tusd",true,true,true,true,true
"binance","btc_uah",true,true,true,true,true
"binance","btcup_usdt",true,true,true,true,true
"binance","btc_usdc",true,true,true,true,true
"binance","btc_usdt",true,true,true,true,true
"binance","btc_vai",true,true,true,true,
"binance","btg_btc",true,true,true,true,true
"binance","btg_busd",true,true,true,true,
"binance","btg_usdt",true,true,true,true,
"binance","bts_btc",true,true,true,true,true
"binance","bts_usdt",true,true,true,true,true
"binance","btt_bnb",true,true,true,true,true
"binance","btt_brl",true,true,true,true,
"binance","btt_busd",true,true,true,true,true
"binance","btt_eur",true,true,true,true,
"binance","btt_trx",true,true,true,true,true
"binance","btt_try",true,true,true,true,
"binance","btt_tusd",true,true,true,true,true
"binance","btt_usdc",true,true,true,true,true
"binance","btt_usdt",true,true,true,true,true
"binance","burger_bnb",true,true,true,true,true
"binance","burger_busd",true,true,true,true,
"binance","burger_usdt",true,true,true,true,
"binance","busd_bidr",true,true,true,true,true
"binance","busd_brl",true,true,true,true,true
"binance","busd_bvnd",true,true,true,true,true
"binance","busd_dai",true,true,true,true,true
"binance","busd_rub",true,true,true,true,true
"binance","busd_try",true,true,true,true,true
"binance","busd_usdt",true,true,true,true,true
"binance","busd_vai",true,true,true,true,
"binance","bzrx_btc",true,true,true,true,true
"binance","bzrx_busd",true,true,true,true,true
"binance","bzrx_usdt",true,true,true,true,true
"binance","cake_bnb",true,true,true,true,true
"binance","cake_btc",true,true,true,true,
"binance","cake_busd",true,true,true,true,true
"binance","cake_gbp",true,true,true,true,
"binance","cake_usdt",true,true,true,true,
"binance","cdt_btc",true,true,true,true,true
"binance","cdt_eth",true,true,true,true,true
"binance","celo_btc",true,true,true,true,true
"binance","celo_usdt",true,true,true,true,true
"binance","celr_bnb",true,true,true,true,true
"binance","celr_btc",true,true,true,true,true
"binance","celr_usdt",true,true,true,true,true
"binance","cfx_btc",true,true,true,true,
"binance","cfx_busd",true,true,true,true,
"binance","cfx_usdt",true,true,true,true,
"binance","chr_bnb",true,true,true,true,true
"binance","chr_btc",true,true,true,true,true
"binance","chr_usdt",true,true,true,true,true
"binance","chz_bnb",true,true,true,true,true
"binance","chz_brl",true,true,true,true,
"binance","chz_btc",true,true,true,true,true
"binance","chz_busd",true,true,true,true,
"binance","chz_eur",true,true,true,true,
"binance","chz_gbp",true,true,true,true,
"binance","chz_try",true,true,true,true,true
"binance","chz_usdt",true,true,true,true,true
"binance","ckb_btc",true,true,true,true,
"binance","ckb_busd",true,true,true,true,
"binance","ckb_usdt",true,true,true,true,
"binance","cnd_btc",true,true,true,true,true
"binance","cocos_bnb",true,true,true,true,true
"binance","cocos_usdt",true,true,true,true,true
"binance","comp_btc",true,true,true,true,true
"binance","comp_busd",true,true,true,true,true
"binance","comp_usdt",true,true,true,true,true
"binance","cos_bnb",true,true,true,true,true
"binance","cos_btc",true,true,true,true,true
"binance","cos_usdt",true,true,true,true,true
"binance","coti_bnb",true,true,true,true,true
"binance","coti_btc",true,true,true,true,true
"binance","coti_usdt",true,true,true,true,true
"binance","cover_busd",true,true,true,true,true
"binance","cover_eth",true,true,true,true,true
"binance","cream_bnb",true,true,true,true,true
"binance","cream_busd",true,true,true,true,true
"binance","crv_bnb",true,true,true,true,true
"binance","crv_btc",true,true,true,true,true
"binance","crv_busd",true,true,true,true,true
"binance","crv_usdt",true,true,true,true,true
"binance","ctk_bnb",true,true,true,true,true
"binance","ctk_btc",true,true,true,true,true
"binance","ctk_busd",true,true,true,true,true
"binance","ctk_usdt",true,true,true,true,true
"binance","ctsi_bnb",true,true,true,true,true
"binance","ctsi_btc",true,true,true,true,true
"binance","ctsi_busd",true,true,true,true,true
"binance","ctsi_usdt",true,true,true,true,true
"binance","ctxc_btc",true,true,true,true,true
"binance","ctxc_usdt",true,true,true,true,true
"binance","cvc_btc",true,true,true,true,true
"binance","cvc_eth",true,true,true,true,true
"binance","cvc_usdt",true,true,true,true,true
"binance","cvp_busd",true,true,true,true,true
"binance","cvp_eth",true,true,true,true,true
"binance","dash_bnb",true,true,true,true,true
"binance","dash_btc",true,true,true,true,true
"binance","dash_busd",true,true,true,true,true
"binance","dash_eth",true,true,true,true,true
"binance","dash_usdt",true,true,true,true,true
"binance","data_btc",true,true,true,true,true
"binance","data_busd",true,true,true,true,true
"binance","data_eth",true,true,true,true,true
"binance","data_usdt",true,true,true,true,true
"binance","dcr_btc",true,true,true,true,true
"binance","dcr_usdt",true,true,true,true,true
"binance","dego_btc",true,true,true,true,
"binance","dego_busd",true,true,true,true,
"binance","dego_usdt",true,true,true,true,true
"binance","dent_eth",true,true,true,true,true
"binance","dent_usdt",true,true,true,true,true
"binance","dexe_busd",true,true,true,true,
"binance","dexe_eth",true,true,true,true,
"binance","df_busd",true,true,true,true,true
"binance","df_eth",true,true,true,true,true
"binance","dgb_bnb",true,true,true,true,true
"binance","dgb_btc",true,true,true,true,true
"binance","dgb_busd",true,true,true,true,true
"binance","dgb_usdt",true,true,true,true,true
"binance","dia_bnb",true,true,true,true,true
"binance","dia_btc",true,true,true,true,true
"binance","dia_busd",true,true,true,true,true
"binance","dia_usdt",true,true,true,true,true
"binance","dlt_btc",true,true,true,true,true
"binance","dnt_btc",true,true,true,true,true
"binance","dnt_busd",true,true,true,true,true
"binance","dnt_usdt",true,true,true,true,true
"binance","dock_btc",true,true,true,true,true
"binance","dock_usdt",true,true,true,true,true
"binance","dodo_btc",true,true,true,true,
"binance","dodo_busd",true,true,true,true,
"binance","dodo_usdt",true,true,true,true,
"binance","doge_aud",true,true,true,true,
"binance","doge_brl",true,true,true,true,
"binance","doge_btc",true,true,true,true,true
"binance","doge_busd",true,true,true,true,true
"binance","doge_eur",true,true,true,true,true
"binance","doge_gbp",true,true,true,true,
"binance","doge_rub",true,true,true,true,
"binance","doge_try",true,true,true,true,
"binance","doge_usdt",true,true,true,true,true
"binance","dot_bidr",true,true,true,true,true
"binance","dot_bnb",true,true,true,true,true
"binance","dot_brl",true,true,true,true,
"binance","dot_btc",true,true,true,true,true
"binance","dot_busd",true,true,true,true,true
"binance","dotdown_usdt",true,true,true,true,true
"binance","dot_eur",true,true,true,true,true
"binance","dot_gbp",true,true,true,true,true
"binance","dot_try",true,true,true,true,
"binance","dotup_usdt",true,true,true,true,true
"binance","dot_usdt",true,true,true,true,true
"binance","drep_btc",true,true,true,true,true
"binance","drep_usdt",true,true,true,true,true
"binance","dusk_btc",true,true,true,true,true
"binance","dusk_usdt",true,true,true,true,true
"binance","egld_bnb",true,true,true,true,true
"binance","egld_btc",true,true,true,true,true
"binance","egld_busd",true,true,true,true,true
"binance","egld_eur",true,true,true,true,
"binance","egld_usdt",true,true,true,true,true
"binance","elf_btc",true,true,true,true,true
"binance","elf_eth",true,true,true,true,true
"binance","enj_bnb",true,true,true,true,true
"binance","enj_brl",true,true,true,true,
"binance","enj_btc",true,true,true,true,true
"binance","enj_busd",true,true,true,true,true
"binance","enj_eth",true,true,true,true,true
"binance","enj_eur",true,true,true,true,
"binance","enj_gbp",true,true,true,true,
"binance","enj_usdt",true,true,true,true,true
"binance","eos_bnb",true,true,true,true,true
"binance","eos_btc",true,true,true,true,true
"binance","eos_busd",true,true,true,true,true
"binance","eosdown_usdt",true,true,true,true,true
"binance","eos_eth",true,true,true,true,true
"binance","eos_eur",true,true,true,true,true
"binance","eos_try",true,true,true,true,
"binance","eos_tusd",true,true,true,true,true
"binance","eosup_usdt",true,true,true,true,true
"binance","eos_usdc",true,true,true,true,true
"binance","eos_usdt",true,true,true,true,true
"binance","eps_btc",true,true,true,true,
"binance","eps_busd",true,true,true,true,
"binance","eps_usdt",true,true,true,true,
"binance","etc_bnb",true,true,true,true,true
"binance","etc_btc",true,true,true,true,true
"binance","etc_busd",true,true,true,true,true
"binance","etc_eth",true,true,true,true,true
"binance","etc_usdt",true,true,true,true,true
"binance","eth_aud",true,true,true,true,true
"binance","eth_bidr",true,true,true,true,true
"binance","eth_brl",true,true,true,true,true
"binance","eth_btc",true,true,true,true,true
"binance","eth_busd",true,true,true,true,true
"binance","eth_dai",true,true,true,true,true
"binance","ethdown_usdt",true,true,true,true,true
"binance","eth_eur",true,true,true,true,true
"binance","eth_gbp",true,true,true,true,true
"binance","eth_pax",true,true,true,true,true
"binance","eth_rub",true,true,true,true,true
"binance","eth_try",true,true,true,true,true
"binance","eth_tusd",true,true,true,true,true
"binance","ethup_usdt",true,true,true,true,true
"binance","eth_usdc",true,true,true,true,true
"binance","eth_usdt",true,true,true,true,true
"binance","eur_busd",true,true,true,true,true
"binance","eur_usdt",true,true,true,true,true
"binance","evx_btc",true,true,true,true,true
"binance","ez_btc",true,true,true,true,
"binance","ez_eth",true,true,true,true,
"binance","fet_bnb",true,true,true,true,true
"binance","fet_btc",true,true,true,true,true
"binance","fet_usdt",true,true,true,true,true
"binance","fil_bnb",true,true,true,true,true
"binance","fil_btc",true,true,true,true,true
"binance","fil_busd",true,true,true,true,true
"binance","fildown_usdt",true,true,true,true,true
"binance","filup_usdt",true,true,true,true,true
"binance","fil_usdt",true,true,true,true,true
"binance","fio_bnb",true,true,true,true,true
"binance","fio_btc",true,true,true,true,true
"binance","fio_busd",true,true,true,true,true
"binance","fio_usdt",true,true,true,true,true
"binance","firo_btc",true,true,true,true,
"binance","firo_eth",true,true,true,true,
"binance","firo_usdt",true,true,true,true,
"binance","fis_btc",true,true,true,true,
"binance","fis_busd",true,true,true,true,
"binance","fis_usdt",true,true,true,true,
"binance","flm_btc",true,true,true,true,true
"binance","flm_busd",true,true,true,true,true
"binance","flm_usdt",true,true,true,true,true
"binance","for_btc",true,true,true,true,true
"binance","for_busd",true,true,true,true,true
"binance","forth_btc",true,true,true,true,true
"binance","forth_busd",true,true,true,true,
"binance","forth_usdt",true,true,true,true,true
"binance","front_btc",true,true,true,true,true
"binance","front_busd",true,true,true,true,true
"binance","front_eth",true,true,true,true,true
"binance","ftm_bnb",true,true,true,true,true
"binance","ftm_btc",true,true,true,true,true
"binance","ftm_usdt",true,true,true,true,true
"binance","ftt_bnb",true,true,true,true,true
"binance","ftt_btc",true,true,true,true,true
"binance","ftt_usdt",true,true,true,true,true
"binance","fun_btc",true,true,true,true,true
"binance","fun_eth",true,true,true,true,true
"binance","fun_usdt",true,true,true,true,true
"binance","fxs_btc",true,true,true,true,
"binance","fxs_busd",true,true,true,true,
"binance","gas_btc",true,true,true,true,true
"binance","gbp_busd",true,true,true,true,true
"binance","gbp_usdt",true,true,true,true,true
"binance","ghst_busd",true,true,true,true,true
"binance","ghst_eth",true,true,true,true,true
"binance","glm_btc",true,true,true,true,true
"binance","glm_eth",true,true,true,true,true
"binance","go_btc",true,true,true,true,true
"binance","grs_btc",true,true,true,true,true
"binance","grt_btc",true,true,true,true,true
"binance","grt_busd",true,true,true,true,
"binance","grt_eth",true,true,true,true,true
"binance","grt_eur",true,true,true,true,true
"binance","grt_usdt",true,true,true,true,true
"binance","gto_btc",true,true,true,true,true
"binance","gto_usdt",true,true,true,true,true
"binance","gvt_btc",true,true,true,true,true
"binance","gxs_btc",true,true,true,true,true
"binance","gxs_eth",true,true,true,true,true
"binance","gxs_usdt",true,true,true,true,true
"binance","hard_bnb",true,true,true,true,true
"binance","hard_btc",true,true,true,true,true
"binance","hard_busd",true,true,true,true,true
"binance","hard_usdt",true,true,true,true,true
"binance","hbar_bnb",true,true,true,true,true
"binance","hbar_btc",true,true,true,true,true
"binance","hbar_busd",true,true,true,true,true
"binance","hbar_usdt",true,true,true,true,true
"binance","hegic_busd",true,true,true,true,true
"binance","hegic_eth",true,true,true,true,true
"binance","hive_btc",true,true,true,true,true
"binance","hive_usdt",true,true,true,true,true
"binance","hnt_btc",true,true,true,true,true
"binance","hnt_usdt",true,true,true,true,true
"binance","hot_bnb",true,true,true,true,true
"binance","hot_brl",true,true,true,true,
"binance","hot_busd",true,true,true,true,
"binance","hot_eth",true,true,true,true,true
"binance","hot_eur",true,true,true,true,
"binance","hot_try",true,true,true,true,
"binance","hot_usdt",true,true,true,true,true
"binance","icx_bnb",true,true,true,true,true
"binance","icx_btc",true,true,true,true,true
"binance","icx_busd",true,true,true,true,true
"binance","icx_eth",true,true,true,true,true
"binance","icx_usdt",true,true,true,true,true
"binance","idex_btc",true,true,true,true,true
"binance","idex_busd",true,true,true,true,true
"binance","inj_bnb",true,true,true,true,true
"binance","inj_btc",true,true,true,true,true
"binance","inj_busd",true,true,true,true,true
"binance","inj_usdt",true,true,true,true,true
"binance","iost_bnb",true,true,true,true,true
"binance","iost_btc",true,true,true,true,true
"binance","iost_busd",true,true,true,true,
"binance","iost_eth",true,true,true,true,true
"binance","iost_usdt",true,true,true,true,true
"binance","iota_bnb",true,true,true,true,true
"binance","iota_btc",true,true,true,true,true
"binance","iota_busd",true,true,true,true,true
"binance","iota_eth",true,true,true,true,true
"binance","iota_usdt",true,true,true,true,true
"binance","iotx_btc",true,true,true,true,true
"binance","iotx_eth",true,true,true,true,true
"binance","iotx_usdt",true,true,true,true,true
"binance","iq_bnb",true,true,true,true,true
"binance","iq_busd",true,true,true,true,true
"binance","iris_btc",true,true,true,true,true
"binance","iris_usdt",true,true,true,true,true
"binance","jst_bnb",true,true,true,true,true
"binance","jst_btc",true,true,true,true,true
"binance","jst_busd",true,true,true,true,true
"binance","jst_usdt",true,true,true,true,true
"binance","juv_btc",true,true,true,true,true
"binance","juv_busd",true,true,true,true,true
"binance","juv_usdt",true,true,true,true,true
"binance","kava_bnb",true,true,true,true,true
"binance","kava_btc",true,true,true,true,true
"binance","kava_usdt",true,true,true,true,true
"binance","key_eth",true,true,true,true,true
"binance","key_usdt",true,true,true,true,true
"binance","kmd_btc",true,true,true,true,true
"binance","kmd_eth",true,true,true,true,true
"binance","kmd_usdt",true,true,true,true,true
"binance","knc_btc",true,true,true,true,true
"binance","knc_busd",true,true,true,true,true
"binance","knc_eth",true,true,true,true,true
"binance","knc_usdt",true,true,true,true,true
"binance","kp3r_bnb",true,true,true,true,true
"binance","kp3r_busd",true,true,true,true,true
"binance","ksm_bnb",true,true,true,true,true
"binance","ksm_btc",true,true,true,true,true
"binance","ksm_busd",true,true,true,true,true
"binance","ksm_usdt",true,true,true,true,true
"binance","lina_btc",true,true,true,true,
"binance","lina_busd",true,true,true,true,
"binance","lina_usdt",true,true,true,true,
"binance","link_aud",true,true,true,true,true
"binance","link_brl",true,true,true,true,true
"binance","link_btc",true,true,true,true,true
"binance","link_busd",true,true,true,true,true
